variant,cases,mean_gi,max_gi,calorie_target_error,meal_coverage,meal_type_consistency,diversity,total_carbs,total_protein,sim_reward,time_in_range,final_glucose
Full heuristic,54,14.837962962962964,43.94444444444444,159.1851851851852,1.0,1.0,1.0,121.56851851851853,133.08148148148146,-2.2910484126984163,0.33796296296296297,160.61654232804233
Guideline planner,54,22.64814814814815,47.27777777777778,109.61111111111111,1.0,1.0,0.8796296296296297,87.93333333333332,112.72592592592592,-2.645007407407411,0.3333333333333333,154.32146031746032
Guideline + graph,54,22.75,47.27777777777778,110.14814814814815,1.0,1.0,0.8796296296296297,87.82037037037037,112.76481481481481,-2.643880423280427,0.3333333333333333,154.29910846560847
Guideline + twin,54,21.57638888888889,45.94444444444444,117.05555555555556,1.0,1.0,0.8773148148148148,82.1351851851852,113.3,-2.162936772486775,0.3333333333333333,152.85871693121695
Graph-Twin planner,54,22.016203703703702,45.94444444444444,117.83333333333333,1.0,1.0,0.8796296296296297,82.93333333333332,112.02592592592592,-2.218497883597886,0.3333333333333333,153.05977777777775
RL policy only,54,42.92824074074074,78.33333333333333,151.7962962962963,1.0,1.0,1.0,270.11296296296297,71.09814814814816,-18.593411904761904,0.1712962962962963,198.9363386243386
Hybrid RL + heuristic,54,29.10185185185185,55.0,108.44444444444444,1.0,1.0,1.0,274.26666666666665,85.76296296296296,-18.16308148148148,0.17592592592592593,198.16849735449736
