GroupType,Group,N,PositiveRate,MeanPredictedRisk,Accuracy,Precision,Recall,F1,AUC
gender,Female,5866,0.0768837367882714,0.07641078531742096,0.975110808046369,0.9841269841269841,0.6873614190687362,0.8093994778067886,0.9794360741391348
gender,Male,4134,0.0965166908563135,0.09701545536518097,0.9697629414610547,0.9858156028368794,0.6967418546365914,0.8164464023494861,0.9785333480958085
age_group,40-59,2932,0.09652114597544338,0.09473873674869537,0.9665757162346521,0.9894179894179894,0.6607773851590106,0.7923728813559322,0.9639640000160071
age_group,60+,2492,0.19743178170144463,0.19872890412807465,0.9402086677367576,0.9803921568627451,0.7113821138211383,0.8244994110718492,0.9674171747967479
age_group,<40,4576,0.01638986013986014,0.01666981726884842,0.9947552447552448,1.0,0.68,0.8095238095238095,0.9769117973783603
